CLSID的	解释	描述
{D4480A50-BA28-11d1-8E75-00C04FA31A86}	添加网络位置	添加网上邻居
{D20EA4E1-3957-11d2-A40B-0C5020524153}	管理工具	管理工具
{21EC2020-3AEA-1069-A2DD-08002B30309D}	所有控制面板项目	所有控制面板项
{ED7BA470-8E54-465E-825C-99712043E01C}	所有任务	所有任务
{4234d49b-0245-4df3-b780-3893943456e1}	应用	应用
{C57A6066-66A3-4D91-9EB9-41532179F0A5}	Microsoft Excel	AppSuggestedLocations
{9C60DE1E-E5FC-40f4-A487-460851A8D915}	自动播放	自动播放
{28803F59-3A75-4058-995F-4EE5503B023C}	蓝牙设备	蓝牙设备
{0CD7A5C0-9F37-11CE-AE65-08002B2E1262}	Cabinet Shell 文件夹	Cabinet Shell 文件夹
{04731B67-D933-450a-90E6-4ACD2E9408FE}	搜索	CLSID_SearchFolder
{9343812E-1C37-4A49-A12E-4B2D810D956B}	搜索结果	CLSID_SearchHome
{B2C761C6-29BC-4f19-9251-E6195265BAF1}	色彩管理	色彩管理
{437ff9c0-a07f-4fa0-af80-84b6c6440a16}	命令文件夹	命令文件夹
{d34a6ca6-62c2-4c34-8a7c-14709c1ad938}	Common Places FS 文件夹	Common Places FS 文件夹
{F02C1A0D-BE21-4350-88B0-7367FC96EF3C}	网络	计算机和设备
{26EE0668-A00A-44D7-9371-BEB064C98683}	控制面板	控制面板
{5399E694-6CE5-4D6C-8FCE-1D8870FDCBA0}	所有控制面板项目	“开始”菜单和桌面的控制面板命令对象
{1206F5F1-0569-412C-8FEC-3204630DFB70}	凭据管理器	凭据管理器
{E2E7934B-DCE5-43C4-9576-7FE4F75E7480}	日期 & 时间	日期和时间控制面板
{B155BDF8-02F0-451E-9A26-AE317CFD7779}	“计算机”中显示的委托文件夹	“计算机”中显示的委托文件夹
{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}	桌面	桌面
{A8A91A66-3A7D-4424-8D24-04E180695C7A}	设备和打印机	设备中心
{74246bfc-4c96-11d0-abef-0020af6b0b7a}	设备管理器	设备管理器
{D2035EDF-75CB-4EF1-95A7-410D9EE17170}	DLNA 内容目录数据源	DLNA 内容目录数据源
{289AF617-1CC3-42A6-926C-E6A863F0E3BA}	媒体服务器	DLNA 媒体服务器数据源
{A8CDFF1C-4878-43be-B5FD-F8091C1C60D0}	公文	文件
{374DE290-123F-4565-9164-39C4925E467B}	下载	下载
{D555645E-D4F8-4c29-A827-D93C859C4F2A}	轻松访问中心	易于访问
{ECDB0924-4208-451E-8EE0-373C0956DE16}	工作文件夹	弹性云服务器
{2559a1f5-21d7-11d4-bdaf-00c04f60b9f0}	电子邮件	电子邮件
{418c8b64-5463-461d-88e0-75e2afa3c6fa}	资源管理器浏览器结果文件夹	资源管理器浏览器结果文件夹
{323CA680-C24D-4099-B94D-446DD2D7249E}	喜欢	收藏 夹
{6DFD7C5C-2451-11d3-A299-00C04F8EF6AF}	文件资源管理器选项	文件夹选项
{93412589-74D4-4E4E-AD0E-E0CB621440FD}	字体设置	字体设置
{3936E9E4-D92C-4EEE-A85A-BC16D5EA0819}	常用文件夹	“常用地点”文件夹
{1D2680C9-0E2A-469d-B787-065558BC7D43}	融合缓存	融合缓存
{ED228FDF-9EA8-4870-83b1-96b02CFE0D52}	游戏	游戏浏览器
{F6B6E965-E9B2-444B-9286-10C9152EDBC5}	文件历史记录	历史保险库
{67CA7650-96E6-4FDD-BB43-A8E774F73A57}	家庭组	家庭组控制面板
{9a096bb5-9dc3-4d1c-8526-c3cbf991ea4e}	IE RSS 源文件夹	IE RSS 源文件夹
{87D66A43-7B11-4A28-9811-C86EE395ACF7}	索引选项	索引选项控制面板
{A0275511-0E86-4ECA-97C2-ECD8F1221D08}	红外辐射	红外线
{15EAE92E-F17A-4431-9F28-805E482DAFD4}	检索程序	安装新程序
{d450a8a1-9568-45c7-9c0e-b4f9fb4537bd}	已安装的更新	已安装的更新
{871C5380-42A0-1069-A2EA-08002B30309D}	互联网	Internet 文件夹
{A3DD4F92-658A-410F-84FD-6FBBBEF2FFFE}	Internet 属性	互联网选项
{725BE8F7-668E-4C7B-8F90-46BDB0936430}	键盘属性	键盘控制面板
{BF782CC9-5A52-4A17-806C-2A894FFEEAC5}	语言	语言设置
{328B0346-7EAF-4BBE-A479-7CB88A095F5B}	布局文件夹	布局文件夹
{a5a3563a-5755-4a6f-854e-afa3230b199f}	库文件夹	库文件夹
{1FA9085F-25A2-489B-85D4-86326EEDCD87}	管理无线网络	管理无线网络
{63da6ec0-2e98-11cf-8d82-444553540000}	Microsoft FTP 文件夹	Microsoft FTP 文件夹
{5ea4f148-308c-46d7-98a9-49041b1dd468}	Windows 移动中心	移动中心控制面板
{6C8EEC18-8D75-41B2-A177-8831D59D2D50}	鼠标属性	鼠标控制面板
{1CF1260C-4DD0-4ebb-811F-33C572699FDE}	音乐	音乐
{450D8FBA-AD25-11D0-98A8-0800361B1103}	我的文档	我的文档
{208D2C60-3AEA-1069-A2D7-08002B30309D}	网络	网络
{8E908FC9-BECC-40f6-915B-F4CA0E70D03D}	网络和共享中心	网络和共享中心
{7007ACC7-3202-11D1-AAD2-00805FC1270E}	网络连接	网络连接
{992CFFA0-F557-101A-88EC-00DD010CCC48}	网络连接	网络连接
{AFDB1F70-2A4C-11d2-9039-00C04F8EEB3E}	“脱机文件”文件夹	脱机文件文件夹
{018D5C66-4533-4307-9B53-224DE2ED1FE6}	OneDrive的	OneDrive的
